Verified,Review
unverified,good flight following equally good flight rome good food especially evening flight aircraft early way short haul
unverified,hour delay due late arrival incoming aircraft captain particularly able communicator kept u touch situation got freebie upgrade emergency exit seat friendly member crew end minute behind schedule relatively comfortable elderly plane pretty stress free
verified,booked ba loganair dont representative manchester airport loganair cancelled flight someone ba marked flight delayed minute give spent day chasing ba complaint department best totally ineffective wont put people dealing claim apparently dont facility wont phone loganair wont look manchester airport historic flight website confirm cancellation wont put supervisor fact little apologize little
verified,british airway lost bag lar found sent cologne sat two day told one give spent day europe without bag bought clothes ba refused reimburse closed case day returned state bag showed front door wont let talk management say email mail dont call customer service say escalate never know dont update claim form
verified,check process rewardloyalty program mess never able get point even trying partner airline unfortunately work travel sometimes time flight delayed
verified,flew november took long seek satisfactory response ba ultimately never received ba refused rebook son cost day due lack underground service alternate service ba forced u buy new ticket never admitted subjected u disparate treatment flying recommending ba
verified,left london johannesburg december issue flight pillow gave u dirty year old dropped juice asked cabin crew member walking past serviette told go bathroom get clean issue werent pleasant certainly major problem booked ba december return johannesburg flight delayed january pm connecting flight durban live johannesburg landing johannesburg child option ba changed flight nd january requested sooner date could get home sooner given january accepted original time opted would convenient connection johannesburg durban unfortunately flight delayed till nd january extremely upset absolutely exhausted child absolutely exhausted also suffer eczema hay fever cream medication caused eczema flare badly even lip cracked burning allergy severe eye sticking together couldnt stop sneezing daughter also eczema flare staff sympathy empathy mother traveling alone child told know inconvenience lady even snapped trying best child booked separate seat even legal let alone ethical refusing help saying cant anything approached people third person finally put u together could clearly help flight johannesburg durban originally booked south african airway paid lot ticket south african airway low cost airline given cheap low cost airline remain never even heard replace say flight suffer flight anxiety never book low cost airline tiny flight anxiety went roof flight besides also left huge credit card bill used pound st know ba obliged compensate inconvenience eu law besides compensation ba staff really need show empathy passenger like two hour long flight delay two day row alone child expect full compensation u far worst experience traveling staff kept saying that get compensation waiting see get compensated promised ground staff legally eu law let see put fight ethical legal
verified,excellent flight cut lar return good ba moved business class checking one end hall apparent reason nice long walk check fast track security slow minute indicator board suggested south lounge half full went uncomfortably full still tatty refurbished went b pier lounge instead much better except usual staff sort trying pack early bizarre way refilling food container involves actually removing kitchen mean gone lot time rather replenishing customer side employeecentric behavior time flight transit take u c gate except transit decided stop b gate watched five maybe seven transit pas without stopping eventually group maybe passenger mixed age decided descend walkway run way c gate arrived soaked sweat nice start long business class flight spacious seat outdated urgent need replacement if working rebooted headphone prong bent headphone working us port working drink brought promptly starter salmon delicious truly excellent beef tough think bad piece meat rather badly cooked wine good cheese average good staff friendly good night sleep breakfast good recheck experience job huge hassle giant screen saying domestic recheck queue get front queue told safari say ba local partner hassle arent warned told load ba passenger making mistake overall little thing would make better fast track actually fast track refurbish south lounge food replenishment passenger area kitchen make sure transit stop even late evening refurbish ask co generally excellent way monitor meat quality rigorously
verified,recent flight cyprus ba second cabin door closed pilot announced would held runway hour know prior inform passenger boarded flight home took nearly hour due weather condition plus hour waiting ba offer hour hell flight oatmeal biscuit my water family went cabin crew ask water told want cabin crew asleep back row seat aircraft ba infuriated previously asked spare seat year old could spread get sleep available told flight full arrived late connecting flight missed queued connection desk large queue watch ba staff clock night front u genuine support given family effectively abandoned ba give tried speak someone helpline automated message saying due number call surprised aspect cant assist hang tried several time various time think default message raised via email system unsurprisingly mugged cant escalate week passed like said national disgrace
verified,flight ba arrived rome december passenger received sm ba say luggage left london wife completed required form queue hour checked ba agent rome believe baggage would arrive last flight night pm would likely delivered next day nobody ba rome airport made contact u explain happened bag would arrive finally got luggage delivered u pm sunday december day due leave rome waiting period contact initiated either ba rome agent several occasion called rome london help desk received update year travelling together never happened sheer neglect keeping u informed disgusting sadly ba never fly share horror story others strongly encourage fly another airline would give ba overall rating zero
verified,first time flew british airway huge disappointment seat quite good food simple service subpar heathrow airport hub far worst large airport give seen europe landed dc email saying luggage stayed london last wednesday airbag could follow suitcase came washington following day thursday ever since sitting airport british offer mean communication online chat not not tell call number england another not say inquiry luggage sends link via sm hang option talk human claim form gave there local phone reach voicemail keep calling time today leaving message saying airbag show suitcase had offering go pick dont need deliver one reply voicemail basically shut luggage information customer service one talk
verified,pretty good flight still small thing improved check quick lounge good tasty food well chosen wine disappointingly secured gate bus aircraft hot scrum got last bus avoid crush emirate turkish lufthansa qatar plane gate ba pennypinching turned cabin crew forgot last bus ask welcome drink came champagne actually cold well done ba first time managed serve champagne cold year flying big improvement cabin seat lovely always greatly prefer emirate whitewood being drink service prompt if good starter trout ok main chicken excellent cheese sold cold wine excellent disturbed night got good sleep comfy bed cabin bit warm though personal preference woken asked served tasty breakfast small detail impossible get water c altitude maybe ba could warm ceramic coffee cup coffee retains heat bit longer pouring quite hot coffee nice cold china mug mean lukewarm instantly plane record time minute parking bag waiting u belt excellent work ground staff overall improvement point gate bus plane dont forget passenger last bus board late well bushbuck standout cabin crew member miguel star
verified,check fine priorityfast track line security boarding one lounge option first class customer mexico city american airline admiral club abysmal free bar serving cheap alcohol awful food selection nowhere shower board find seat really comfortable crew fantastic i starting really see consistency quality first class crew drink selection fine food appalling victim new supper service basically dinner service lot less optionschoice fishseafood option either starter main first choice main unavailable two loaded fillet steak drying overcooked heard least three people send back pretty impressive cabin eight passengersdreadful dessert cheeseboard luggage swiftly end good see priority tagging working
verified,british airway absolute rubbish fly amsterdam urgent appointment flight cancelled last minute presumably due bad weather theyve kept u gate saying plane couldnt land literally every plane airport taking landing zero issue another kim flight amsterdam scheduled depart time took time another kim flight amsterdam later evening also took without problem one operated british airway cancelled bad weather apparently weather bad every plane could land take successfully apart rebook eurostar next day would still miss important appointment intended go amsterdam thanks british airway
verified,flight time changed last minute without warning assistance provided ground staff rd party agent regarding impact delay help forthcoming shoreline nobody airline want take responsibility anything fundamentally unreliable airline inboard service poor even good low cost airline
verified,i frustrated flight cancelled last minute want end world even though earliest could get rebooted three day later insane saga event proceeded claim compensation i legally entitled according eu rule used claim page ok became incomprehensibly frustrating case closed confirmation conclusion money tried calling kept lead circle customer service cant speak claim team claim team cant spoken directly customer service dont access claim team system call later nothing could done throw toy pram last call someone finally updated thought end confirmed claim would transferred due got amount wrong wrote highlight said would rectify almost month since original flight cancelled still havent received owed compensation wife son sent two email last two day give yet get response criminal adhering aviation rule dictate compensation cancelled flight terrible customer service honestly cant believe ba capable awful service
verified,sat plane hour forty five minute awaiting takeoff due bad weather london understandable safety fortunately long layover delay affect however many others lucky waiting given one small bottle water one tiny pack corn kernel later food drink offered purchase complaint sitting idle plane nearly two hour possibly missing connecting flight cant give u free bag chip coke asked told british airway really cheap money grubbing
unverified,british airway stranding wife heathrow airport day access baggage told airline employee purchase necessity toiletry refreshment et wed reimbursed claim denied ba claiming weather reason delay outright lie since every airline london flying onetime unable anything besides stand line voucher stand line shuttle stand line reservation et hour absolute nightmare never fly ba
verified,although like many day avoid ba long haul london heathrow due perception poor service lack customer service thing go wrong pleasantly surprised recent flight belfast aircraft actually left time arrived ahead schedule cabin crew looked bored uninspired often ba read time didnt really matter quiet flight say emergency exit unchallenged handy would fly ba pressed
verified,flight british airway best flight attendant outstanding processional attentive helpful food good settle flat bed comfortable love smart design club world cabin wonderful flight home
unverified,worst airline ever flown cancelled flight hour departure didnt even contact didnt put new flight rebook next day also left find accommodation nightmare refused compensation left stranded inboard service also archaic outdated plane oldest airline give flown food service worst give ever experienced give travelled airline emirate etched thai malaysian qantas cathay a et fly ba
verified,disappointing service plane interior terribly incompetent customer service booked flight directly ba website soon started get email saying selected seat paid extra selection changed ba without reason given directed website found information said seat change happened several time flight altogether website seems digital dinosaur first leg flight fine discovered transfer area heathrow forgot new laptop inboard immediately contacted ba called customer service oxymoron basically said anything would wait cleaner working contractor would finished job hope would discover laptop return called lost found airport ba customer service said couldnt contact colleague terminalgate plane still let know lost laptop seat plane yes told exactly laptop wouldnt take contact detail either notify laptop would returned refused register incident simply interest assisting didnt even make attempt pretend communication via online customer service poor didnt even respond message end emailed representative heathrow replied message form supervisor reveal name duty british airway find lost property behalf passenger however would like dispute contact customer relation online feedback took responsibility referred smartecarte contractor cleaning plane apparently collecting lost item heathrow received laptop worth thousand gap back week later flight london cape town hour unpleasant flight attendant seemingly unenthusiastic job took hour collect trash meal also distributed extremely slowly food good boarding slow inefficient drink offered twice otherwise you ask especially long flight seat fabric uncomfortable room scarce relax sleep flying british airway disappointing keen flying
verified,transit visa required partner transit via london iceland buy separate ticket via another airline reach iceland emailed british airway telling wont using return ticket requested partial refund day later received email customer service need contact one service center via provided link replied say link go page various british landmine phone number call explained overseas practical via international call replied say contacting service center airline end taking money regardless
verified,surprised receive confirmation preflight keg luggage allowance later confirmed one keg checked another keg carry seat third keg carry overhead stowage checking opened bit late line executive club member even later courteous efficient long queue passport control fault credit ba seat screen earphone socket charge point seat recline boarding music low cost carrier captain announced wonderful service emily crew maybe club class economy cabin announced would serve complimentary water snack snack came also announced would free text messaging exec club member couldnt get work although member snack sold twice tui price example cadburys chocolate finger chose ba time booked cheaper charter carrier british mustnt forget ba impeccable safety record normally reliable service landing purser thanked crew hard work seems pushing one small cart aisle four hour constitutes hard work ba least time
verified,flight cancelled refunding money saying took flight never happened refunding new flight booked hotel food stranded provide food water waiting hour tarmac provide information arent refunding flight never happened saying information
verified,visa issue hence debarred flying ground staff mumbai excellent woman named brindle helpful understanding rebook ticket original journey consisting leg ba forced rebook entire ticket system allow rebook one leg even though gap day two leg like connecting flight telephone operator rude took minute kept saying needed minute give clarity horrendous final price offered rebooting leg much original fare leg torturous ba horrendous website allow poor experience
verified,singapore heathrow ba two choice route economy premium first isnt much club world win suite check easy security passport control singapore efficient choice lounge ba qantas qatar latter win easily ba lounge ok major negative qantas win space boarding time aircraft high density club world cabin service fine club suite good food beverage targeted feel st meal starter good main beef fillet average sentiment cheese wine acceptable champagne choice cheap try service meal efficient given full cabin breakfast similar menu suggested might want skip main course opt starter dessert work ba major shift lounge option sourced presented would needed slept well arrived early luggage quickly reasonable flight overall warning ba food beverage club world drifting wrong direction
verified,recently travelled munich london british airway turned absolute nightmare trouble began malfunctioning ape despite checking successfully unable retrieve boarding pass upon arrival airport discovered selfservice kiosk checking desk completely unattended seeking help information desk directed staff member clearly want assist u dismissive attitude infuriating despite showing ape indicating checked simply told u call customer service walked away without providing assistance put hold minute sent several different staff member couldnt help u finally reached someone phone kind ultimately powerless resolve issue point flight delayed wasted two hour trying print boarding pass followed complaint british airway basically dismissed concern told use ape next timeignoring fact apes failure caused problem first place experience cost u staggering additional expense including new flight hotel stay taxi fare fine missing work explaining absurd situation employer incredibly embarrassing british airway clearly need improve customer service technology ape website going fail must provide adequate support airport never fly urge others consider alternative airline
